Box,Sensor_Type,Channel,Sensor_ID,lengh_windows,lengh_m,width_m,hight_m,temp_c
1,SHT31,1,,15,4.5,2,2.7,
1,SHT31,2,,9,2.7,2,2.8,
1,ds,3,15,12,3.6,2.8,2.9,
1,ds,4,11,14,4.2,2,1.7,
1,ds,5,13,12,3.6,0,2.1,
1,ds,6,14,14,4.2,2,1,
2,SHT31,1,,4,1.2,0,2.2,
2,SHT31,2,,4,1.2,3,3.3,
2,ds,3,7,4,1.2,3,2.9,
2,ds,4,8,4,1.2,2,1.1,
2,ds,5,9,7,2.1,2,2.8,
2,ds,6,10,2,0.6,2,2.8,
3,SHT31,1,,10.5,3.15,2,2.9,
3,SHT31,2,,6,1.8,2,2.9,
3,ds,3,16,8,2.4,4.5,1,
3,ds,4,18,8,2.4,3.25,2.9,
3,ds,5,17,8,2.4,6.5,2,
3,ds,6,19,8,2.4,4.5,1.5,
